,genome bp,missed,percent missed,coverage
SRR1509798,1238250.0,7771.0,0.006275792449020796,18.528011306279023
SRR1509792,1238250.0,26145.0,0.021114476075105998,9.792369876842319
SRR1509799,1238250.0,71072.0,0.057397133050676355,3.8804126791843325
SRR1509793,1238250.0,142974.0,0.11546456692913386,3.466432465172623
SRR1509794,1238250.0,427130.0,0.3449464970724813,1.5955622854835454
ERR3256923,1238250.0,116961.0,0.09445669291338582,4.085261457702402
SRR070081,1238250.0,109714.0,0.0886040783363618,3.0036793862305675
SRR070083,1238250.0,202038.0,0.16316414294367051,2.035995962043206
SRR070084,1238250.0,450118.0,0.3635114072279427,1.164898041590955
SRR5868539,1238250.0,1475.0,0.0011911972541893802,19.848656571774683
SRR5868540,1238250.0,52686.0,0.04254875832828589,4.269369674944478
SRR304680,1238250.0,359675.0,0.290470421966485,1.354360589541692
