,k=51
54.fa,0.99997
48.fa,0.99996
62.fa,0.99979
18.fa,0.99967
12.fa,0.99953
21.fa,0.99942
13.fa,0.99942
59.fa,0.99941
60.fa,0.99934
11.fa,0.99927
40.fa,0.99927
56.fa,0.99926
30.fa,0.99923
8.fa,0.99909
42.fa,0.99906
52.fa,0.99905
22.fa,0.99893
15.fa,0.99884
0.fa,0.99882
53.fa,0.99866
57.fa,0.99858
39.fa,0.99857
25.fa,0.99852
10.fa,0.99849
36.fa,0.99821
31.fa,0.99818
37.fa,0.99754
1.fa,0.9967
51.fa,0.99659
61.fa,0.99579
29.fa,0.99515
33.fa,0.99504
50.fa,0.99439
14.fa,0.99405
38.fa,0.99342
9.fa,0.99341
28.fa,0.99334
2.fa,0.99263
3.fa,0.99226
43.fa,0.99127
34.fa,0.98106
41.fa,0.98086
24.fa,0.98008
5.fa,0.97751
27.fa,0.95568
45.fa,0.94828
46.fa,0.94654
16.fa,0.93295
26.fa,0.93184
4.fa,0.93106
47.fa,0.91889
49.fa,0.89322
58.fa,0.88464
63.fa,0.87398
35.fa,0.83571
7.fa,0.82418
44.fa,0.66764
55.fa,0.66044
6.fa,0.64987
32.fa,0.59217
17.fa,0.57156
23.fa,0.56311
19.fa,0.54074
66.fa,0.07398
67.fa,0.06624
20.fa,0.05522
64.fa,0.01204
65.fa,0.00583
