,k=31
0.fa,1.0
12.fa,1.0
8.fa,1.0
18.fa,1.0
57.fa,1.0
2.fa,1.0
21.fa,1.0
36.fa,1.0
54.fa,1.0
53.fa,1.0
52.fa,1.0
51.fa,1.0
48.fa,1.0
43.fa,1.0
30.fa,1.0
31.fa,1.0
37.fa,1.0
15.fa,1.0
56.fa,0.999
60.fa,0.999
61.fa,0.999
4.fa,0.999
35.fa,0.999
59.fa,0.999
22.fa,0.999
28.fa,0.999
29.fa,0.999
24.fa,0.998
33.fa,0.997
40.fa,0.997
26.fa,0.997
9.fa,0.996
34.fa,0.995
14.fa,0.995
3.fa,0.993
62.fa,0.993
13.fa,0.993
10.fa,0.993
11.fa,0.993
39.fa,0.986
42.fa,0.985
27.fa,0.983
1.fa,0.982
45.fa,0.979
47.fa,0.973
46.fa,0.972
16.fa,0.97
50.fa,0.954
5.fa,0.953
63.fa,0.945
58.fa,0.939
38.fa,0.905
7.fa,0.904
32.fa,0.903
41.fa,0.891
25.fa,0.771
55.fa,0.721
19.fa,0.622
44.fa,0.61
6.fa,0.603
17.fa,0.573
49.fa,0.567
23.fa,0.542
67.fa,0.129
20.fa,0.124
66.fa,0.108
64.fa,0.026
65.fa,0.009
