containment,filename
1.0,0.fa
0.9993112947658402,1.fa
1.0,2.fa
0.9990476190476191,3.fa
0.9988577023498695,4.fa
0.9968847352024922,5.fa
0.9474474474474475,6.fa
0.9277894736842105,7.fa
0.9989740082079344,8.fa
0.9989173583543847,9.fa
0.998501872659176,10.fa
0.9993169398907104,11.fa
1.0,12.fa
0.9995346672871103,13.fa
0.9997989949748743,14.fa
1.0,15.fa
0.9761029411764706,16.fa
0.8123272526257601,17.fa
1.0,18.fa
0.6466353677621284,19.fa
0.20149602618045817,20.fa
1.0,21.fa
0.9997326917936381,22.fa
0.9922383575363044,23.fa
0.9995503597122302,24.fa
1.0,25.fa
1.0,26.fa
0.9838032393521295,27.fa
0.998814463544754,28.fa
1.0,29.fa
0.9994058229352347,30.fa
0.9994079336885732,31.fa
0.9968021068472536,32.fa
0.9960238568588469,33.fa
0.9941262848751835,34.fa
0.9987282746926663,35.fa
1.0,36.fa
0.9995162070633768,37.fa
0.9981924988703118,38.fa
1.0,39.fa
1.0,40.fa
0.99786438868126,41.fa
1.0,42.fa
0.9998585572842998,43.fa
0.9736189402480271,44.fa
0.9874757452813547,45.fa
0.9860708067324434,46.fa
0.9845487092519314,47.fa
1.0,48.fa
0.9979423868312757,49.fa
0.9995391705069124,50.fa
0.9994505494505495,51.fa
0.9994285714285714,52.fa
1.0,53.fa
1.0,54.fa
0.8071895424836601,55.fa
1.0,56.fa
1.0,57.fa
0.9548417132216015,58.fa
0.999712395743457,59.fa
0.999743128692525,60.fa
0.9982363315696648,61.fa
0.9996234939759037,62.fa
0.9685308056872038,63.fa
0.023181454836131096,64.fa
0.01542366263178446,65.fa
0.18562874251497005,66.fa
0.17468982630272953,67.fa
